@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute inputs-21 numeric
@attribute inputs-22 numeric
@attribute inputs-23 numeric
@attribute inputs-24 numeric
@attribute inputs-25 numeric
@attribute inputs-26 numeric
@attribute inputs-27 numeric
@attribute inputs-28 numeric
@attribute inputs-29 numeric
@attribute inputs-30 numeric
@attribute inputs-31 numeric
@attribute inputs-32 numeric
@attribute inputs-33 numeric
@attribute inputs-34 numeric
@attribute inputs-35 numeric
@attribute inputs-36 numeric
@attribute inputs-37 numeric
@attribute inputs-38 numeric
@attribute inputs-39 numeric
@attribute inputs-40 numeric
@attribute inputs-41 numeric
@attribute inputs-42 numeric
@attribute inputs-43 numeric
@attribute inputs-44 numeric
@attribute inputs-45 numeric
@attribute inputs-46 numeric
@attribute inputs-47 numeric
@attribute inputs-48 numeric
@attribute inputs-49 numeric
@attribute inputs-50 numeric
@attribute inputs-51 numeric
@attribute inputs-52 numeric
@attribute inputs-53 numeric
@attribute inputs-54 numeric
@attribute inputs-55 numeric
@attribute inputs-56 numeric
@attribute inputs-57 numeric
@attribute inputs-58 numeric
@attribute inputs-59 numeric
@attribute inputs-60 numeric
@attribute inputs-61 numeric
@attribute inputs-62 numeric
@attribute inputs-63 numeric
@attribute inputs-64 numeric
@attribute inputs-65 numeric
@attribute inputs-66 numeric
@attribute inputs-67 numeric
@attribute inputs-68 numeric
@attribute inputs-69 numeric
@attribute inputs-70 numeric
@attribute inputs-71 numeric
@attribute inputs-72 numeric
@attribute inputs-73 numeric
@attribute inputs-74 numeric
@attribute inputs-75 numeric
@attribute inputs-76 numeric
@attribute inputs-77 numeric
@attribute inputs-78 numeric
@attribute inputs-79 numeric
@attribute inputs-80 numeric
@attribute inputs-81 numeric
@attribute inputs-82 numeric
@attribute inputs-83 numeric
@attribute inputs-84 numeric
@attribute inputs-85 numeric
@attribute inputs-86 numeric
@attribute inputs-87 numeric
@attribute inputs-88 numeric
@attribute inputs-89 numeric
@attribute inputs-90 numeric
@attribute inputs-91 numeric
@attribute inputs-92 numeric
@attribute inputs-93 numeric
@attribute inputs-94 numeric
@attribute inputs-95 numeric
@attribute inputs-96 numeric
@attribute inputs-97 numeric
@attribute inputs-98 numeric
@attribute inputs-99 numeric
@attribute inputs-100 numeric
@attribute outputs-1 {0,1,2,3,4,5}

@data
11,'2022/09/20 13:08:35:465',3,0.67451,0.74902,0.721569,0.792157,0.654902,0.694118,0.709804,0.678431,0.619608,0.603922,0.658824,0.74902,0.705882,0.776471,0.631373,0.843137,0.709804,0.74902,0.72549,0.72549,0.639216,0.580392,0.713726,0.843137,0.662745,0.815686,0.705882,0.756863,0.780392,0.760784,0.670588,0.713726,0.803922,0.309804,0.690196,0.764706,0.513726,0.529412,0.796078,0.803922,0.52549,0.709804,0.447059,0.819608,0.411765,0.74902,0.709804,0.784314,0.839216,0.831373,0.654902,0.705882,0.25098,0.317647,0.701961,0.729412,0.709804,0.752941,0.333333,0.854902,0.647059,0.709804,0.545098,0.556863,0.34902,0.721569,0.717647,0.792157,0.666667,0.25098,0.698039,0.721569,0.560784,0.262745,0.337255,0.831373,0.74902,0.819608,0.384314,0.364706,0.705882,0.737255,0.945098,0.478431,0.588235,0.494118,0.866667,0.839216,0.329412,0.627451,0.721569,0.376471,0.360784,0.435294,0.32549,0.403922,0.380392,0.85098,0.207843,0.184314,?
12,'2022/09/20 13:08:35:665',3,0.67451,0.756863,0.721569,0.784314,0.654902,0.705882,0.709804,0.698039,0.627451,0.611765,0.670588,0.752941,0.709804,0.772549,0.615686,0.847059,0.709804,0.737255,0.752941,0.717647,0.631373,0.576471,0.741176,0.823529,0.654902,0.8,0.705882,0.752941,0.772549,0.756863,0.670588,0.721569,0.815686,0.294118,0.666667,0.768627,0.513726,0.521569,0.796078,0.807843,0.541176,0.705882,0.45098,0.819608,0.403922,0.74902,0.709804,0.772549,0.831373,0.819608,0.654902,0.701961,0.239216,0.278431,0.709804,0.733333,0.705882,0.756863,0.333333,0.858824,0.666667,0.713726,0.560784,0.556863,0.34902,0.713726,0.721569,0.796078,0.666667,0.239216,0.694118,0.721569,0.611765,0.262745,0.34902,0.811765,0.74902,0.815686,0.392157,0.364706,0.698039,0.737255,0.945098,0.482353,0.6,0.494118,0.854902,0.835294,0.32549,0.592157,0.721569,0.364706,0.352941,0.454902,0.313726,0.4,0.384314,0.854902,0.207843,0.203922,?
13,'2022/09/20 13:08:35:868',3,0.67451,0.74902,0.721569,0.788235,0.65098,0.698039,0.705882,0.694118,0.619608,0.603922,0.67451,0.760784,0.705882,0.780392,0.627451,0.847059,0.701961,0.74902,0.733333,0.721569,0.643137,0.572549,0.721569,0.843137,0.662745,0.811765,0.701961,0.752941,0.784314,0.768627,0.666667,0.713726,0.807843,0.298039,0.67451,0.768627,0.501961,0.529412,0.807843,0.807843,0.545098,0.705882,0.45098,0.819608,0.419608,0.74902,0.701961,0.772549,0.827451,0.843137,0.647059,0.709804,0.258824,0.286275,0.698039,0.729412,0.717647,0.74902,0.333333,0.85098,0.67451,0.713726,0.560784,0.564706,0.360784,0.713726,0.721569,0.8,0.666667,0.262745,0.678431,0.713726,0.615686,0.278431,0.34902,0.815686,0.756863,0.835294,0.4,0.368627,0.701961,0.737255,0.945098,0.470588,0.6,0.494118,0.862745,0.835294,0.305882,0.623529,0.713726,0.384314,0.360784,0.439216,0.317647,0.372549,0.388235,0.858824,0.207843,0.184314,?
14,'2022/09/20 13:08:36:066',3,0.67451,0.760784,0.721569,0.788235,0.654902,0.709804,0.698039,0.662745,0.619608,0.607843,0.658824,0.74902,0.705882,0.780392,0.623529,0.858824,0.705882,0.741176,0.721569,0.729412,0.647059,0.580392,0.737255,0.835294,0.643137,0.796078,0.701961,0.756863,0.768627,0.776471,0.67451,0.717647,0.815686,0.309804,0.678431,0.768627,0.501961,0.521569,0.811765,0.807843,0.545098,0.698039,0.431373,0.807843,0.396078,0.74902,0.705882,0.780392,0.843137,0.835294,0.647059,0.701961,0.270588,0.282353,0.647059,0.72549,0.717647,0.752941,0.333333,0.858824,0.654902,0.705882,0.827451,0.556863,0.345098,0.713726,0.717647,0.796078,0.658824,0.247059,0.686275,0.721569,0.686275,0.266667,0.356863,0.811765,0.752941,0.811765,0.392157,0.372549,0.701961,0.741176,0.94902,0.478431,0.584314,0.494118,0.854902,0.847059,0.317647,0.611765,0.709804,0.376471,0.34902,0.423529,0.309804,0.368627,0.4,0.854902,0.223529,0.180392,?
15,'2022/09/20 13:08:41:664',4,0.635294,0.709804,0.694118,0.835294,0.65098,0.705882,0.721569,0.694118,0.623529,0.607843,0.623529,0.713726,0.682353,0.807843,0.615686,0.87451,0.733333,0.74902,0.741176,0.713726,0.592157,0.517647,0.67451,0.878431,0.623529,0.835294,0.760784,0.776471,0.772549,0.760784,0.596078,0.662745,0.737255,0.92549,0.643137,0.309804,0.721569,0.615686,0.823529,0.8,0.470588,0.627451,0.337255,0.941176,0.607843,0.67451,0.811765,0.847059,0.854902,0.835294,0.545098,0.611765,0.498039,0.87451,0.705882,0.658824,0.745098,0.847059,0.34902,0.87451,0.537255,0.6,0.603922,0.839216,0.690196,0.333333,0.505882,0.886275,0.745098,0.301961,0.54902,0.603922,0.717647,0.972549,0.74902,0.290196,0.203922,0.909804,0.419608,0.423529,0.560784,0.619608,0.988235,0.988235,0.462745,0.580392,0.619608,0.529412,0.364706,0.682353,0.560784,0.607843,0.988235,0.47451,0.431373,0.333333,0.352941,0.419608,0.521569,0.219608,1
16,'2022/09/20 13:08:41:866',4,0.639216,0.721569,0.701961,0.819608,0.647059,0.713726,0.721569,0.686275,0.623529,0.607843,0.627451,0.709804,0.686275,0.811765,0.631373,0.870588,0.737255,0.756863,0.729412,0.713726,0.596078,0.529412,0.670588,0.87451,0.627451,0.839216,0.760784,0.776471,0.772549,0.760784,0.607843,0.654902,0.737255,0.909804,0.654902,0.32549,0.733333,0.611765,0.823529,0.796078,0.47451,0.631373,0.345098,0.937255,0.607843,0.686275,0.815686,0.843137,0.854902,0.835294,0.54902,0.611765,0.490196,0.878431,0.721569,0.662745,0.74902,0.85098,0.356863,0.866667,0.537255,0.611765,0.603922,0.839216,0.694118,0.329412,0.509804,0.882353,0.737255,0.27451,0.552941,0.603922,0.698039,0.972549,0.760784,0.294118,0.215686,0.905882,0.423529,0.419608,0.568627,0.619608,0.988235,0.988235,0.462745,0.592157,0.631373,0.52549,0.372549,0.639216,0.54902,0.607843,0.988235,0.482353,0.439216,0.333333,0.364706,0.415686,0.509804,0.25098,1
17,'2022/09/20 13:08:42:068',4,0.635294,0.741176,0.698039,0.819608,0.647059,0.713726,0.729412,0.690196,0.623529,0.6,0.635294,0.713726,0.678431,0.819608,0.615686,0.87451,0.729412,0.756863,0.741176,0.713726,0.580392,0.52549,0.662745,0.878431,0.627451,0.835294,0.756863,0.784314,0.776471,0.772549,0.596078,0.658824,0.741176,0.898039,0.647059,0.309804,0.741176,0.607843,0.827451,0.8,0.47451,0.635294,0.341176,0.937255,0.607843,0.686275,0.803922,0.847059,0.854902,0.839216,0.552941,0.611765,0.482353,0.87451,0.721569,0.658824,0.745098,0.85098,0.368627,0.87451,0.545098,0.592157,0.615686,0.847059,0.678431,0.341176,0.505882,0.886275,0.709804,0.290196,0.552941,0.607843,0.686275,0.976471,0.74902,0.294118,0.211765,0.909804,0.431373,0.415686,0.560784,0.611765,0.988235,0.988235,0.458824,0.584314,0.639216,0.529412,0.364706,0.682353,0.560784,0.596078,0.988235,0.478431,0.427451,0.333333,0.364706,0.403922,0.505882,0.231373,1
18,'2022/09/20 13:08:42:268',4,0.631373,0.713726,0.694118,0.815686,0.658824,0.705882,0.729412,0.682353,0.623529,0.607843,0.635294,0.717647,0.682353,0.811765,0.623529,0.878431,0.733333,0.74902,0.737255,0.709804,0.588235,0.52549,0.686275,0.882353,0.631373,0.843137,0.760784,0.776471,0.780392,0.772549,0.6,0.666667,0.737255,0.92549,0.643137,0.32549,0.752941,0.607843,0.815686,0.803922,0.470588,0.635294,0.341176,0.945098,0.603922,0.682353,0.807843,0.854902,0.847059,0.839216,0.552941,0.615686,0.486275,0.870588,0.713726,0.670588,0.772549,0.854902,0.356863,0.878431,0.54902,0.6,0.603922,0.839216,0.686275,0.333333,0.509804,0.886275,0.741176,0.286275,0.533333,0.607843,0.694118,0.972549,0.74902,0.329412,0.215686,0.905882,0.419608,0.415686,0.560784,0.607843,0.988235,0.988235,0.45098,0.580392,0.639216,0.513726,0.364706,0.666667,0.568627,0.611765,0.988235,0.482353,0.435294,0.341176,0.364706,0.403922,0.498039,0.223529,1
19,'2022/09/20 13:08:46:265',5,0.639216,0.729412,0.705882,0.74902,0.611765,0.658824,0.678431,0.658824,0.603922,0.556863,0.65098,0.729412,0.686275,0.760784,0.584314,0.862745,0.682353,0.701961,0.694118,0.670588,0.592157,0.533333,0.666667,0.866667,0.560784,0.780392,0.678431,0.721569,0.733333,0.698039,0.596078,0.654902,0.737255,0.882353,0.533333,0.698039,0.505882,0.545098,0.270588,0.713726,0.466667,0.615686,0.341176,0.882353,0.454902,0.678431,0.666667,0.305882,0.827451,0.815686,0.52549,0.6,0.470588,0.784314,0.580392,0.647059,0.682353,0.478431,0.690196,0.443137,0.509804,0.564706,0.572549,0.756863,0.529412,0.627451,0.694118,0.47451,0.411765,0.8,0.494118,0.552941,0.658824,0.909804,0.662745,0.796078,0.737255,0.768627,0.501961,0.466667,0.482353,0.537255,0.988235,0.980392,0.972549,0.517647,0.247059,0.772549,0.470588,0.694118,0.470588,0.521569,0.980392,0.980392,0.976471,0.427451,0.439216,0.321569,0.682353,0.380392,2
20,'2022/09/20 13:08:46:466',5,0.654902,0.741176,0.713726,0.8,0.611765,0.666667,0.670588,0.654902,0.6,0.560784,0.662745,0.737255,0.686275,0.784314,0.588235,0.843137,0.682353,0.705882,0.709804,0.658824,0.592157,0.552941,0.67451,0.839216,0.568627,0.788235,0.666667,0.721569,0.72549,0.713726,0.607843,0.643137,0.733333,0.854902,0.541176,0.698039,0.509804,0.545098,0.286275,0.72549,0.458824,0.623529,0.341176,0.858824,0.454902,0.670588,0.666667,0.32549,0.847059,0.807843,0.529412,0.584314,0.462745,0.788235,0.580392,0.639216,0.670588,0.4,0.705882,0.462745,0.505882,0.556863,0.556863,0.764706,0.529412,0.631373,0.686275,0.498039,0.419608,0.705882,0.490196,0.541176,0.623529,0.882353,0.654902,0.784314,0.737255,0.811765,0.552941,0.435294,0.478431,0.54902,0.988235,0.980392,0.976471,0.513726,0.254902,0.792157,0.482353,0.65098,0.470588,0.517647,0.980392,0.980392,0.972549,0.415686,0.427451,0.34902,0.694118,0.392157,2
21,'2022/09/20 13:08:46:664',5,0.666667,0.74902,0.713726,0.780392,0.611765,0.65098,0.678431,0.643137,0.603922,0.580392,0.662745,0.721569,0.690196,0.768627,0.6,0.843137,0.678431,0.705882,0.705882,0.67451,0.603922,0.556863,0.690196,0.839216,0.572549,0.772549,0.670588,0.72549,0.72549,0.701961,0.603922,0.658824,0.72549,0.854902,0.533333,0.717647,0.505882,0.552941,0.337255,0.713726,0.470588,0.619608,0.345098,0.85098,0.470588,0.658824,0.666667,0.341176,0.847059,0.780392,0.529412,0.596078,0.462745,0.784314,0.576471,0.639216,0.670588,0.294118,0.756863,0.486275,0.509804,0.564706,0.552941,0.74902,0.521569,0.639216,0.686275,0.521569,0.411765,0.619608,0.498039,0.545098,0.635294,0.87451,0.654902,0.768627,0.733333,0.780392,0.431373,0.419608,0.486275,0.537255,0.976471,0.976471,0.976471,0.521569,0.247059,0.776471,0.45098,0.611765,0.47451,0.52549,0.980392,0.976471,0.972549,0.407843,0.423529,0.360784,0.678431,0.435294,2
